algorithm,input_size,hash_family,memory_model,l1_misses,l1_hits,l1_miss_rate,l2_misses,l2_miss_rate,total_mem_ops,work_ops,theoretical_bound,cache_bound_ratio,work_bound_ratio,seq_baseline_misses,hp_improvement,fixed
tree_isomorphism,4096,Siegel(k=8),CREW,32,4064,0.0078,32,0.0081,4096,53,47,0.6809,0.5521,32,1.0000,false
tree_isomorphism,16384,Siegel(k=8),CREW,41,5259,0.0077,41,0.0079,5300,53,56,0.7321,0.5521,42,1.0244,false
tree_isomorphism,65536,Siegel(k=8),CREW,41,5259,0.0077,41,0.0079,5300,53,56,0.7321,0.5521,42,1.0244,false
centroid_decomposition,256,Siegel(k=8),EREW,2,254,0.0078,2,0.0171,256,49,14,0.1429,0.6125,2,1.0000,false
centroid_decomposition,1024,Siegel(k=8),EREW,8,1016,0.0078,8,0.0091,1024,49,22,0.3636,0.6125,8,1.0000,false
centroid_decomposition,4096,Siegel(k=8),EREW,32,4064,0.0078,32,0.0081,4096,49,47,0.6809,0.6125,32,1.0000,false
centroid_decomposition,16384,Siegel(k=8),EREW,38,4862,0.0078,38,0.0080,4900,49,53,0.7170,0.6125,39,1.0263,false
centroid_decomposition,65536,Siegel(k=8),EREW,38,4862,0.0078,38,0.0080,4900,49,53,0.7170,0.6125,39,1.0263,false
lcp_array,256,Siegel(k=8),CREW,2,254,0.0078,2,0.0171,256,30,14,0.1429,0.6250,2,1.0000,false
lcp_array,1024,Siegel(k=8),CREW,8,1016,0.0078,8,0.0091,1024,30,22,0.3636,0.6250,8,1.0000,false
lcp_array,4096,Siegel(k=8),CREW,23,2977,0.0077,23,0.0080,3000,30,38,0.6053,0.6250,24,1.0435,false
lcp_array,16384,Siegel(k=8),CREW,23,2977,0.0077,23,0.0080,3000,30,38,0.6053,0.6250,24,1.0435,false
lcp_array,65536,Siegel(k=8),CREW,23,2977,0.0077,23,0.0080,3000,30,38,0.6053,0.6250,24,1.0435,false
string_sorting,256,Siegel(k=8),CREW,2,254,0.0078,2,0.0171,256,39,14,0.1429,0.4875,2,1.0000,false
string_sorting,1024,Siegel(k=8),CREW,8,1016,0.0078,8,0.0091,1024,39,22,0.3636,0.4875,8,1.0000,false
string_sorting,4096,Siegel(k=8),CREW,30,3870,0.0077,30,0.0080,3900,39,45,0.6667,0.4875,31,1.0333,false
string_sorting,16384,Siegel(k=8),CREW,30,3870,0.0077,30,0.0080,3900,39,45,0.6667,0.4875,31,1.0333,false
string_sorting,65536,Siegel(k=8),CREW,30,3870,0.0077,30,0.0080,3900,39,45,0.6667,0.4875,31,1.0333,false
parallel_median,256,Siegel(k=8),CREW,2,254,0.0078,2,0.0171,256,44,14,0.1429,0.6875,2,1.0000,false
parallel_median,1024,Siegel(k=8),CREW,8,1016,0.0078,8,0.0091,1024,44,22,0.3636,0.6875,8,1.0000,false
parallel_median,4096,Siegel(k=8),CREW,32,4064,0.0078,32,0.0081,4096,44,47,0.6809,0.6875,32,1.0000,false
parallel_median,16384,Siegel(k=8),CREW,34,4366,0.0077,34,0.0080,4400,44,49,0.6939,0.6875,35,1.0294,false
parallel_median,65536,Siegel(k=8),CREW,34,4366,0.0077,34,0.0080,4400,44,49,0.6939,0.6875,35,1.0294,false
parallel_partition,256,Siegel(k=8),EREW,2,254,0.0078,2,0.0171,256,25,14,0.1429,0.5208,2,1.0000,false
parallel_partition,1024,Siegel(k=8),EREW,8,1016,0.0078,8,0.0091,1024,25,22,0.3636,0.5208,8,1.0000,false
parallel_partition,4096,Siegel(k=8),EREW,19,2481,0.0076,19,0.0080,2500,25,34,0.5588,0.5208,20,1.0526,false
parallel_partition,16384,Siegel(k=8),EREW,19,2481,0.0076,19,0.0080,2500,25,34,0.5588,0.5208,20,1.0526,false
parallel_partition,65536,Siegel(k=8),EREW,19,2481,0.0076,19,0.0080,2500,25,34,0.5588,0.5208,20,1.0526,false
parallel_batch_search,256,Siegel(k=8),CREW,2,254,0.0078,2,0.0171,256,26,14,0.1429,0.8125,2,1.0000,false
parallel_batch_search,1024,Siegel(k=8),CREW,8,1016,0.0078,8,0.0091,1024,26,22,0.3636,0.8125,8,1.0000,false
parallel_batch_search,4096,Siegel(k=8),CREW,20,2580,0.0077,20,0.0081,2600,26,35,0.5714,0.8125,21,1.0500,false
parallel_batch_search,16384,Siegel(k=8),CREW,20,2580,0.0077,20,0.0081,2600,26,35,0.5714,0.8125,21,1.0500,false
parallel_batch_search,65536,Siegel(k=8),CREW,20,2580,0.0077,20,0.0081,2600,26,35,0.5714,0.8125,21,1.0500,false
